access,authority,category,category_local,error,full_info,headers,project,publication_date,publication_datetime,publication_lastmodified,publication_time,source,source_file_url,source_filename,source_page_url,source_scraper,title,year
private,MRAe Auvergne-Rhône-Alpes,Cas par cas,Examen au cas par cas et autres décisions,False,"Cas par cas étudié à la demande de la commune nouvelle de Val d’Oingt (Rhône)
Décision : ce dossier est soumis à évaluation environnementale
Décision du 12 janvier 2023 / / 2022-ARA-KKU-2893
    
        2023DKARA1 
            
                pdf - 1.1 Mo","{'Content-Length': '1146611', 'Date': 'Tue, 16 Jul 2024 14:17:27 GMT', 'Server': 'nginx/1.18.0', 'Strict-Transport-Security': 'max-age=31536000', 'Content-Type': 'application/pdf', 'Last-Modified': 'Thu, 12 Jan 2023 14:28:54 GMT', 'Etag': '""63c01926-117ef3""', 'Set-Cookie': 'SRV=ede1c6b9-b509-43e3-a454-23f32633704a; path=/', 'Cache-Control': 'private'}",Élaboration du plan local d'urbanisme (PLU) de la commune déléguée Bois d'Oingt (69),2023-01-12,2023-01-12 14:28:54 UTC,"Thu, 12 Jan 2023 14:28:54 GMT",14:28:54 UTC,www.mrae.developpement-durable.gouv.fr,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/2023dkara1_elabplu_boisdoingt_69.pdf,2023dkara1_elabplu_boisdoingt_69.pdf,https://www.mrae.developpement-durable.gouv.fr/cas-par-cas-decisions-prises-de-la-mrae-auvergne-a1158.html?lang=fr,MRAe Scraper,Décision 2023DKARA1,2023
private,MRAe Auvergne-Rhône-Alpes,Avis,Avis rendus sur plans et programmes,False,"Révision allégée n°1 du plan local d’urbanisme (PLU) de la commune des Ancizes-Comps (63)
Projet porté par la commune des Ancizes-Comps (Puy-de-Dôme)
Avis du 3 janvier 2023 / 2023-ARA-AUPP-1209
    
        2023AARA1
            
                pdf - 5.7 Mo","{'Content-Length': '6006169', 'Date': 'Tue, 16 Jul 2024 14:17:29 GMT', 'Server': 'nginx/1.18.0', 'Strict-Transport-Security': 'max-age=31536000', 'Content-Type': 'application/pdf', 'Last-Modified': 'Tue, 03 Jan 2023 15:12:53 GMT', 'Etag': '""63b445f5-5ba599""', 'Set-Cookie': 'SRV=ede1c6b9-b509-43e3-a454-23f32633704a; path=/', 'Cache-Control': 'private'}",Révision allégée n°1 du plan local d'urbanisme (PLU) de la commune des Ancizes-Comps (63),2023-01-03,2023-01-03 15:12:53 UTC,"Tue, 03 Jan 2023 15:12:53 GMT",15:12:53 UTC,www.mrae.developpement-durable.gouv.fr,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/2022-au-au-01209-_revion-allegee1-lesancizescomps-63vfinale.pdf,2022-au-au-01209-_revion-allegee1-lesancizescomps-63vfinale.pdf,https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-plans-et-programmes-de-la-mrae-a1178.html?lang=fr,MRAe Scraper,Avis 2023AARA1,2023
private,MRAe Auvergne-Rhône-Alpes,Avis,Avis rendus sur projets,False,"Projet porté par la SAS Centrales photovoltaïques PS2 (Hauts-de-Seine)
Avis du 5 janvier 2023 / 2022-ARA-AP-1458
    
        2023APARA1
            
                pdf - 530.3 ko","{'Content-Length': '543027', 'Date': 'Tue, 16 Jul 2024 14:17:31 GMT', 'Server': 'nginx/1.18.0', 'Strict-Transport-Security': 'max-age=31536000', 'Content-Type': 'application/pdf', 'Last-Modified': 'Thu, 05 Jan 2023 09:43:58 GMT', 'Etag': '""63b69bde-84933""', 'Set-Cookie': 'SRV=ede1c6b9-b509-43e3-a454-23f32633704a; path=/', 'Cache-Control': 'private'}",Nécessité d'actualiser l'étude d'impact du projet de parc photovoltaïque sur la commune de Salzuit (43),2023-01-05,2023-01-05 09:43:58 UTC,"Thu, 05 Jan 2023 09:43:58 GMT",09:43:58 UTC,www.mrae.developpement-durable.gouv.fr,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/2023apara1_actuaee_parcpvsolsalzuit_43.pdf,2023apara1_actuaee_parcpvsolsalzuit_43.pdf,https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-projets-de-la-mrae-auvergne-rhone-a1198.html?lang=fr,MRAe Scraper,Avis 2023APARA1,2023
private,MRAe Bourgogne-Franche-Comté,Cas par cas,Examen au cas par cas et autres décisions,False,"Modification n°1 de l’aire de valorisation de l’architecture et du patrimoine (AVAP) de la commune de Nuits-Saint-Georges (21) 
Cas par cas étudié à la demande de la commune de Nuits-Saint-Georges (Côte d’Or)
Décision : ce dossier n’est pas soumis à évaluation environnementale
Décision du 23 janvier 2023  / BFC-2023-3636
    
        2023DKBFC1
            
                pdf - 170.2 ko","{'Content-Length': '174322', 'Date': 'Tue, 16 Jul 2024 14:17:33 GMT', 'Server': 'nginx/1.18.0', 'Strict-Transport-Security': 'max-age=31536000', 'Content-Type': 'application/pdf', 'Last-Modified': 'Mon, 23 Jan 2023 10:31:47 GMT', 'Etag': '""63ce6213-2a8f2""', 'Set-Cookie': 'SRV=c2e9e51f-5f85-4134-9d4a-50add9bc7b79; path=/', 'Cache-Control': 'private'}",Modification n°1 de l'aire de valorisation de l'architecture et du patrimoine (AVAP) de la commune de Nuits-Saint-Georges (21),2023-01-23,2023-01-23 10:31:47 UTC,"Mon, 23 Jan 2023 10:31:47 GMT",10:31:47 UTC,www.mrae.developpement-durable.gouv.fr,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/2023dkbfc1_modif_1_avap_nuits_saint_georges_21.pdf,2023dkbfc1_modif_1_avap_nuits_saint_georges_21.pdf,https://www.mrae.developpement-durable.gouv.fr/cas-par-cas-decisions-prises-de-la-mrae-bourgogne-a1159.html?lang=fr,MRAe Scraper,Décision 2023DKBFC1,2023
private,MRAe Auvergne-Rhône-Alpes,Cas par cas,Avis conformes,False,"Dossier étudié à la demande de la commune de Hauteluce (Savoie)
Avis conforme : cette évolution ne requiert pas la réalisation d’une évaluation environnementale
Avis conforme du 4 janvier 2023/ 2022-ARA-AC-2898
    
        2023ACARA1
            
                pdf - 1 Mo","{'Content-Length': '1093636', 'Date': 'Tue, 16 Jul 2024 14:17:35 GMT', 'Server': 'nginx/1.18.0', 'Strict-Transport-Security': 'max-age=31536000', 'Content-Type': 'application/pdf', 'Last-Modified': 'Thu, 05 Jan 2023 09:48:23 GMT', 'Etag': '""63b69ce7-10b004""', 'Set-Cookie': 'SRV=107d2de4-8f9c-4f5d-af5e-c7ee7f1ac05c; path=/', 'Cache-Control': 'private'}",Modification simplifiée du plan local d'urbanisme (PLU) de la commune de Hauteluce (73),2023-01-05,2023-01-05 09:48:23 UTC,"Thu, 05 Jan 2023 09:48:23 GMT",09:48:23 UTC,www.mrae.developpement-durable.gouv.fr,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/2023acara1_mod_simpl_plu_hauteluce_73.pdf,2023acara1_mod_simpl_plu_hauteluce_73.pdf,https://www.mrae.developpement-durable.gouv.fr/avis-conformes-de-la-mrae-auvergne-rhone-alpes-en-a1218.html?lang=fr,MRAe Scraper,Avis conforme 2023ACARA1,2023
private,MRAe Bourgogne-Franche-Comté,Avis,Avis rendus sur plans et programmes,False,"Avis étudié à la demande de la communauté de communes Val de Gray  (Haute-Saône)
Avis du 24 janvier 2023 / BFC-2023-3599
    
        2023ABFC4
            
                pdf - 738.5 ko","{'Content-Length': '756254', 'Date': 'Tue, 16 Jul 2024 14:17:37 GMT', 'Server': 'nginx/1.18.0', 'Strict-Transport-Security': 'max-age=31536000', 'Content-Type': 'application/pdf', 'Last-Modified': 'Wed, 25 Jan 2023 09:13:53 GMT', 'Etag': '""63d0f2d1-b8a1e""', 'Set-Cookie': 'SRV=ede1c6b9-b509-43e3-a454-23f32633704a; path=/', 'Cache-Control': 'private'}",Révision de la carte communale de la commune de Venère (70),2023-01-25,2023-01-25 09:13:53 UTC,"Wed, 25 Jan 2023 09:13:53 GMT",09:13:53 UTC,www.mrae.developpement-durable.gouv.fr,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/2023abfc4_cc_venere_70-2.pdf,2023abfc4_cc_venere_70-2.pdf,https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-plans-et-programmes-de-la-mrae-a1179.html?lang=fr,MRAe Scraper,Avis 2023ABFC4,2023
private,MRAe Bourgogne-Franche-Comté,Avis,Avis rendus sur projets,False,"Avis étudié à la demande du préfet de Saône-et-Loire
Avis sur projet du 5 janvier 2023/ BFC-2023-3606
    
        2023APBFC2
            
                pdf - 1.1 Mo","{'Content-Length': '1187624', 'Date': 'Tue, 16 Jul 2024 14:17:39 GMT', 'Server': 'nginx/1.18.0', 'Strict-Transport-Security': 'max-age=31536000', 'Content-Type': 'application/pdf', 'Last-Modified': 'Thu, 05 Jan 2023 09:00:42 GMT', 'Etag': '""63b691ba-121f28""', 'Set-Cookie': 'SRV=107d2de4-8f9c-4f5d-af5e-c7ee7f1ac05c; path=/', 'Cache-Control': 'private'}",Projet de parc photovoltaïque flottant « Les Gravoches » sur la commune de Gueugnon (71),2023-01-05,2023-01-05 09:00:42 UTC,"Thu, 05 Jan 2023 09:00:42 GMT",09:00:42 UTC,www.mrae.developpement-durable.gouv.fr,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/2023apbfc2_centralepv_flottant_gueugnon_71.pdf,2023apbfc2_centralepv_flottant_gueugnon_71.pdf,https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-projets-de-la-mrae-bourgogne-a1199.html?lang=fr,MRAe Scraper,Avis 2023APBFC2,2023
private,MRAe Bourgogne-Franche-Comté,Cas par cas,Avis conformes,False,"Modification simplifiée n°1 du plan local d’urbanisme (PLU) de la commune de Héry (89)
Avis étudié à la demande de la commune de Héry (Yonne)
Avis conforme de soumission du 3 janvier / BFC-2023-3609
    
        2023ACBFC1
            
                pdf - 171.5 ko","{'Content-Length': '175611', 'Date': 'Tue, 16 Jul 2024 14:17:40 GMT', 'Server': 'nginx/1.18.0', 'Strict-Transport-Security': 'max-age=31536000', 'Content-Type': 'application/pdf', 'Last-Modified': 'Tue, 03 Jan 2023 15:51:38 GMT', 'Etag': '""63b44f0a-2adfb""', 'Set-Cookie': 'SRV=c2e9e51f-5f85-4134-9d4a-50add9bc7b79; path=/', 'Cache-Control': 'private'}",Modification simplifiée n°1 du plan local d'urbanisme (PLU) de la commune de Héry (89),2023-01-03,2023-01-03 15:51:38 UTC,"Tue, 03 Jan 2023 15:51:38 GMT",15:51:38 UTC,www.mrae.developpement-durable.gouv.fr,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/2023acbfc1_ms1_plu_hery_89_soumission.pdf,2023acbfc1_ms1_plu_hery_89_soumission.pdf,https://www.mrae.developpement-durable.gouv.fr/avis-conformes-de-la-mrae-bourgogne-franche-comte-a1219.html?lang=fr,MRAe Scraper,Avis conforme 2023ACBFC1,2023
private,MRAe Bretagne,Cas par cas,Examen au cas par cas et autres décisions,False,"Cas par cas étudié à la demande de la direction départementale des territoires et de la mer du Morbihan (DDTM 56)
Décision : ce dossier est soumis à évaluation environnementale
Décision du 23 janvier 2023 / 2022-010285
    
        2023DKB1
            
                pdf - 148.2 ko","{'Content-Length': '151793', 'Date': 'Tue, 16 Jul 2024 14:17:42 GMT', 'Server': 'nginx/1.18.0', 'Strict-Transport-Security': 'max-age=31536000', 'Content-Type': 'application/pdf', 'Last-Modified': 'Mon, 23 Jan 2023 08:42:51 GMT', 'Etag': '""63ce488b-250f1""', 'Set-Cookie': 'SRV=107d2de4-8f9c-4f5d-af5e-c7ee7f1ac05c; path=/', 'Cache-Control': 'private'}",Révision et extension du plan de prévention des risques d'inondation du Blavet (56),2023-01-23,2023-01-23 08:42:51 UTC,"Mon, 23 Jan 2023 08:42:51 GMT",08:42:51 UTC,www.mrae.developpement-durable.gouv.fr,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/10285_decision_revision_extension_ppri_blavet_56_2023dkb1_mentionsigne-2.pdf,10285_decision_revision_extension_ppri_blavet_56_2023dkb1_mentionsigne-2.pdf,https://www.mrae.developpement-durable.gouv.fr/cas-par-cas-decisions-prises-de-la-mrae-bretagne-a1160.html?lang=fr,MRAe Scraper,Décision 2023DKB1,2023
private,MRAe Bretagne,Avis,Avis rendus sur plans et programmes,False,"Dossier étudié à la demande de la commune de Comblessac (Ille-et-Vilaine)
Avis du 5 janvier 2023 / 2022010160
    
        2023AB1
            
                pdf - 457.5 ko","{'Content-Length': '468509', 'Date': 'Tue, 16 Jul 2024 14:17:43 GMT', 'Server': 'nginx/1.18.0', 'Strict-Transport-Security': 'max-age=31536000', 'Content-Type': 'application/pdf', 'Last-Modified': 'Thu, 05 Jan 2023 16:15:58 GMT', 'Etag': '""63b6f7be-7261d""', 'Set-Cookie': 'SRV=ede1c6b9-b509-43e3-a454-23f32633704a; path=/', 'Cache-Control': 'private'}",Projet d'élaboration de la carte communale de Comblessac (35),2023-01-05,2023-01-05 16:15:58 UTC,"Thu, 05 Jan 2023 16:15:58 GMT",16:15:58 UTC,www.mrae.developpement-durable.gouv.fr,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/10160_avispp_elaborationcartecommunale_comblessac_35_2023ab1_mentionsigne.pdf,10160_avispp_elaborationcartecommunale_comblessac_35_2023ab1_mentionsigne.pdf,https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-plans-et-programmes-de-la-mrae-a1180.html?lang=fr,MRAe Scraper,Avis 2023AB1,2023
